CANDIDATE ID#  NAME
-------------------------------------------------
1:             Patkotak, Josiah B. "Aullaqsruaq"
2:             Foster, Neal W.
3:             Ivanoff, Tyler L.
4:             McCormick, Conrad J. "C.J."
5:             Edgmon, Bryce
6:             Fowler, Angela K. "Fitch"
7:             Cronk, Mike
8:             Hopkins, Grier H.
9:             Tomaszewski, Frank J.
10:            DeMars, Nate
11:            Prax, Glenn M. "Mike"
12:            Givens, Timothy W.
13:            Stapp, Will B.
14:            Lawrence, Van
15:            Nash, Kelly
16:            Dibert, Maxine L.
17:            LeBon, Barton S.
18:            Holmes, Doyle E.
19:            McCabe, Kevin J.
20:            Mindiola, L. Joy
21:            Haase, Elijah D.
22:            Rauscher, George
23:            Allen, Rachel M.
24:            Sumner, Jesse M.
25:            Wright, Jessica
26:            Menard, Steve
27:            Graham, Stuart R. "Stu"
28:            Eastman, David
29:            Carpenter, Brendan R.
30:            Stokes, Daniel L.
31:            Tilton, Cathy L.
32:            Johnson, DeLena M.
33:            Wood, Lawrence D.
34:            Nelson, Daryl W.
35:            Jackson, Sharon
36:            Saddler, Dan
37:            Allard, Jamie
38:            Branson, Roger L.
40:            Wright, Stanley A.
41:            Eischeid, Ted J.
42:            Wolfe, Forrest M.
43:            Mears, Donna C.
44:            Harary, Jordan I.
45:            Gray, Andrew T.
46:            Kohlhaas, Scott A.
47:            Bauer, Paul A.
48:            Wyatt, Russell O.
49:            Mina, Genevieve G.
50:            Franks, Lyn D.
51:            Nelson, David
52:            Groh, Cliff
53:            Fields, William Z. "Zack"
54:            Drummond, Harriet A.
55:            Armstrong, Jennifer "Jennie"
56:            Vazquez, Liz
59:            Wells, Denny
60:            Eibeck, David
61:            McKay, Thomas W. "Tom"
62:            Galvin, Alyse S.
63:            Danger, Nicholas
64:            Henslee, Katherine J. "Kathy"
66:            Josephson, Andy
67:            Schrage, Calvin R.
68:            McDonald, Jay
69:            Featherly, Walter T.
70:            Bieling, Ross P.
71:            Coulombe, Julie
72:            Insalaco, Mikel E.
73:            Johnson, Craig W.
74:            Storm, Caroline
76:            Schaff, David L.
77:            Shaw, Laddie H.
78:            Carpenter, Ben
79:            Gillham, Ronald D. "Ron"
80:            Ruffridge, Justin
81:            Flora, Louis A. "Louie"
82:            Vance, Sarah L.
83:            Bryant, Ginger
84:            Vincent, Benjamin T.
85:            Stutes, Louise B.
86:            Hannan, Sara
87:            Harmon, Darrell J.
88:            Story, Andrea "Andi"
89:            Himschoot, Rebecca
90:            Skaflestad, Kenny
91:            Ortiz, Daniel H. "Dan"
